Код	Наименование	ინდენტიფიკატორი ИТС დისკზე
V56.2     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას.  სატრანსპორტო საშუალების გარეთ მყოფი პიროვნებ	0
V56.3     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას.  პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული	0
V56.4     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას.  პიროვნება დაზარალებული ჩასხდომისას ან გადმოს	0
V56.5     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას.  მძღოლი, დაზარალებული საგზაო შემთხვევაში (V56	0
V56.6     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას.  მგზავრი, დაზარალებული საგზაო შემთხვევაში (V5	0
V56.7     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას.  სატრანსპორტო საშუალების გარეთ მყოფი პიროვნებ	0
V56.9     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას.  საბარგო პიკაპში ან ფურგონში მყოფი პირი (ნები	0
V57.0     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, მძღოლი, დაზარალებული არასაგზაო შემთხვევაში (V57.0)	0
V57.1     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, მგზავრი, დაზარალებული არასაგზაო შემთხვევაში (V57.1)	0
V57.2     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, სატრანსპორტო საშუალების გარეთ მყოფი პიროვნება დაზარალ	0
V57.3     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული არასაგზა	0
V57.4     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, პიროვნება დაზარალებული ჩასხდომისას ან გადმოსვლისას (V	0
V57.5     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული 	0
V57.6     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, მგზავრი, დაზარალებული საგზაო შემთხვევაში (V57.6)	0
V57.7     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, სატრანსპორტო საშუალების გარეთ მყოფი პიროვნება დაზარალ	0
V57.9     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული დამაგრებულ ან უძრავ  ობიექტთან შეჯახებისას, საბარგო პიკაპში ან ფურგონში მყოფი პირი (ნებისმიერი), 	0
V58.0     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  მძღოლი, დაზარალებული არასაგზაო შემთხვევაში (V58.0)	0
V58.1     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  მგზავრი, დაზარალებული არასაგზაო შემთხვევაში (V58.1)	0
V58.2     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  სატრანსპორტო საშუალების გარეთ მყოფი პიროვნება დაზარალ	0
V58.3     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული არასაგზა	0
V58.4     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  პიროვნება დაზარალებული ჩასხდომისას ან გადმოსვლისას (V	0
V58.5     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  მძღოლი, დაზარალებული საგზაო შემთხვევაში (V58.5)	0
V58.6     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  მგზავრი, დაზარალებული საგზაო შემთხვევაში (V58.6)	0
V58.7     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  სატრანსპორტო საშუალების გარეთ მყოფი პიროვნება დაზარალ	0
V58.9     	საბარგო პიკაპში ან ფურგონში მყოფი პირი, დაზარალებული სატრანსპორო შემთხვევაში, შეჯახების გარეშე.  საბარგო პიკაპში ან ფურგონში მყოფი პირი (ნებისმიერი), 	0
V59.0     	მძღოლი, დაზარალებული სხვა და დაუზუსტებელ ძრავიან სატრანსპორტო (V59.0)	0
V59.1     	მგზავრი, დაზარალებული სხვა და დაუზუსტებელ ძრავიან სატრანსპორტო (V59.1)	0
V59.2     	პიკაპში ან ფურგონში მყოფი დაუზუსტებელი პირი, დაზარალებული (V59.2)	0
V59.3     	პიკაპში ან ფურგონში მყოფი პირი (ნებისმიერი) დაზარალებული დაუზუსტებელ    არასაგზაო უბედური შემთხვევის შედეგად (V59.3)	0
V59.4     	მძღოლი, დაზარალებული სხვა და დაუზუსტებელ ძრავიან სატრანსპორტო საშუალებასთან შეჯახებისას საგზაო უბედური შემთხვევის შედეგად (V59.4)	0
V59.5     	მგზავრი, დაზარალებული სხვა და დაუზუსტებელ ძრავიან სატრანსპორტო საშუალებასთან შეჯახებისას საგზაო უბედური შემთხვევის შედეგად (V59.5)	0
V59.6     	საბარგო პიკაპში ან ფურგონში მყოფი დაუზუსტებელი პირი, დაზარალებული სხვა და დაუზუსტებელ ძრავიან სატრანსპორტო საშუალებასთან შეჯახებისას საგზაო უბედური შე	0
V59.8     	საბარგო პიკაპში ან ფურგონში მყოფი პირი (ნებისმიერი), დაზარალებული სხვა დაუზუსტებელ სატრანსპორტო შემთხვევაში. (V59.8)	0
V59.9     	საბარგო პიკაპში ან ფურგონში მყოფი პირი (ნებისმიერი), დაზარალებული დაუზუსტებელ საგზაო უბედური შემთხვევის შედეგად (V59.9)	0
V60.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მძღოლი, დაზარალებული არასაგზაო შემთხვევაში. (V60.0)	0
V60.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მგზავრი, დაზარალებული არასაგზაო შემთხვევაში (V60.1)	0
V60.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალებული  არასაგ	0
V60.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი, დაზარალებულ	0
V60.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, პიროვნება,  დაზარალებული  ჩასხდომისას ან გადმოსვლისას (V60.4)	0
V60.5     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან	0
V60.6     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მგზავრი,  დაზარალებული  საგზაო შემთხვევაში (V60.6)	0
V60.7     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალებული საგზაო 	0
V60.9     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი,  დაზარალებუ	0
V61.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მძღოლი, დაზარალებული არასაგზაო შემთხვევაში. (V61.0)	0
V61.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მგზავრი, დაზარალებული არასაგზაო შემთხვევაში (V61.1)	0
V61.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალებული  არასაგ	0
V61.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას,მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი, დაზარალებული	0
V61.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, პიროვნება,  დაზარალებული  ჩასხდომისას ან გადმოსვლისას (V61.4)	0
V61.5     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მძღოლი,  დაზარალებული  საგზაო შემთხვევაში (V61.5)	0
V61.6     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მგზავრი,  დაზარალებული  საგზაო შემთხვევაში (V61.6)	0
V61.7     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალებული საგზაო 	0
V61.9     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ქვეითთან ან ცხოველთან შეჯახებისას, მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი,  დაზარალებუ	0
V62.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  მძღოლი, დაზარალებული არასაგზაო შემთხვევაში. (V62.0	0
V62.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  მგზავრი, დაზარალებული არასაგზაო შემთხვევაში (V62.1	0
V62.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალ	0
V62.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი	0
V62.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  პიროვნება,  დაზარალებული  ჩასხდომისას ან გადმოსვლი	0
V62.5     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  მძღოლი,  დაზარალებული  საგზაო შემთხვევაში (V62.5)	0
V62.6     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  მგზავრი,  დაზარალებული  საგზაო შემთხვევაში (V62.6)	0
V62.7     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალ	0
V62.9     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული ორ- ან სამთვლიან მოტოტრანსპორტთან შეჯახებისას.  მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი	0
V63.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. მძღოლი, დაზარალებული არასაგზაო შემთ	0
V63.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. მგზავრი, დაზარალებული არასაგზაო შემ	0
V63.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. პიროვნება, სატრანსპორტო საშუალების 	0
V63.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას.მძიმე სატვირთო ავტომობილში მყოფი დაუ	0
V63.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. პიროვნება,  დაზარალებული  ჩასხდომის	0
V63.5     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. მძღოლი,  დაზარალებული  საგზაო შემთხ	0
V63.6     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. მგზავრი,  დაზარალებული  საგზაო შემთ	0
V63.7     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. პიროვნება, სატრანსპორტო საშუალების 	0
V63.9     	მძიმე სატვირთო ავტომობილში მყოფი პირი დაზარალებული მსუბუქ ავტომობილთან, საბარგო პიკაპთან ან ფურგონთან შეჯახებისას. მძიმე სატვირთო ავტომობილში მყოფი და	0
V64.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას, მძღოლი, დაზარალებული არასაგზაო შემთხვევაში.	0
V64.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას, მგზავრი, დაზარალებული არასაგზაო შემთხვევაში	0
V64.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას პიროვნება, სატრანსპორტო საშუალების გარეთ,  დ	0
V64.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელ	0
V64.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას პიროვნება,  დაზარალებული  ჩასხდომისას ან გად	0
V64.5     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას მძღოლი,  დაზარალებული  საგზაო შემთხვევაში (V	0
V64.6     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას მგზავრი,  დაზარალებული  საგზაო შემთხვევაში (	0
V64.7     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას პიროვნება, სატრანსპორტო საშუალების გარეთ,  დ	0
V64.9     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მძიმე სატვირთო ავტომობილთან ან ავტობუსთან შეჯახებისას მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელ	0
V65.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას.  მძღოლი, დაზარალებული არას	0
V65.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას. მგზავრი, დაზარალებული არას	0
V65.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას.  პიროვნება, სატრანსპორტო ს	0
V65.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას.  მძიმე სატვირთო ავტომობილშ	0
V65.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას.  პიროვნება,  დაზარალებული 	0
V65.5     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას. მძღოლი,  დაზარალებული  საგ	0
V65.6     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას.  მგზავრი,  დაზარალებული  ს	0
V65.7     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას.  პიროვნება, სატრანსპორტო ს	0
V65.9     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული მატარებელთან ან სხვა სარკინიგზო სატრანსპორტო საშუალებასთან შეჯახებისას.  მძიმე სატვირთო ავტომობილშ	0
V66.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, მძღოლი, დაზარალებული არასაგზაო შემთხვევაში. (V	0
V66.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, მგზავრი, დაზარალებული არასაგზაო შემთხვევაში (V	0
V66.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზ	0
V66.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი 	0
V66.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, პიროვნება,  დაზარალებული  ჩასხდომისას ან გადმო	0
V66.5     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, მძღოლი,  დაზარალებული  საგზაო შემთხვევაში (V66	0
V66.6     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, მგზავრი,  დაზარალებული  საგზაო შემთხვევაში (V6	0
V66.7     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზ	0
V66.9     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სხვა უძრავო სატრანსპორტო საშუალებასთან შეჯახებისას, მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი 	0
V67.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, მძღოლი, დაზარალებული არასაგზაო შემთხვევაში. (V67.0)	0
V67.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, მგზავრი, დაზარალებული არასაგზაო შემთხვევაში (V67.1)	0
V67.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალებულ	0
V67.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი, და	0
V67.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, პიროვნება,  დაზარალებული  ჩასხდომისას ან გადმოსვლისას 	0
V67.5     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, მძღოლი,  დაზარალებული  საგზაო შემთხვევაში (V67.5)	0
V67.6     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, მგზავრი,  დაზარალებული  საგზაო შემთხვევაში (V67.6)	0
V67.7     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალებულ	0
V67.9     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული დამაგრებული ან უძრავ ობიექტთან შეჯახებისას, მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი,  დ	0
V68.0     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სატრანსპორტო შემთხვევაში, შეჯახების გარეშე.  მძღოლი, დაზარალებული არასაგზაო შემთხვევაში. (V68.0)	0
V68.1     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სატრანსპორტო შემთხვევაში, შეჯახების გარეშე.  მგზავრი, დაზარალებული არასაგზაო შემთხვევაში (V68.1)	0
V68.2     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სატრანსპორტო შემთხვევაში, შეჯახების გარეშე.  პიროვნება, სატრანსპორტო საშუალების გარეთ,  დაზარალებუ	0
V68.3     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სატრანსპორტო შემთხვევაში, შეჯახების გარეშე.  მძიმე სატვირთო ავტომობილში მყოფი დაუზუსტებელი პირი, დ	0
V68.4     	მძიმე სატვირთო ავტომობილში მყოფი პირი, დაზარალებული სატრანსპორტო შემთხვევაში, შეჯახების გარეშე.  პიროვნება,  დაზარალებული  ჩასხდომისას ან გადმოსვლისას	0
